"Time","ROIName","ROI","Mean_Calcium","Mean_Background","Ratio"
156,"background",0,8.19,68.365,0.119798142324289
156,"Airpore Old 1",1,6.996,77.504,0.090266308835673
156,"Airpore Old 2",2,6.938,68.006,0.102020409963827
156,"Airpore Old 3",3,4.43,38.947,0.113744319203019
156,"Airpore Medium 1",4,6.836,59.533,0.114827070700284
156,"Airpore Medium 2",5,5.683,59.123,0.0961216447067977
159,"background",0,8.225,68.463,0.120137884696844
159,"Airpore Old 1",1,7.024,76.762,0.0915036085563169
159,"Airpore Old 2",2,7.001,68.635,0.102003351059955
159,"Airpore Old 3",3,4.495,38.558,0.116577623320712
159,"Airpore Medium 1",4,6.745,60.573,0.111353243194162
159,"Airpore Medium 2",5,5.67,58.831,0.0963777600244769
162,"background",0,8.243,68.775,0.119854598327881
162,"Airpore Old 1",1,6.671,77.431,0.086154124317134
162,"Airpore Old 2",2,6.95,68.094,0.102064792786442
162,"Airpore Old 3",3,4.467,39.104,0.11423383797054
162,"Airpore Medium 1",4,6.823,60.687,0.112429350602271
162,"Airpore Medium 2",5,5.668,59.112,0.0958857761537421
165,"background",0,8.266,68.805,0.120136617978345
165,"Airpore Old 1",1,6.826,77.795,0.0877434282408895
165,"Airpore Old 2",2,6.886,68.088,0.10113382681236
165,"Airpore Old 3",3,4.403,38.781,0.113534978468838
165,"Airpore Medium 1",4,6.981,60.944,0.114547781569966
165,"Airpore Medium 2",5,5.714,59.138,0.0966214616659339
168,"background",0,8.302,69.054,0.120224751643641
168,"Airpore Old 1",1,6.708,76.532,0.0876496106203941
168,"Airpore Old 2",2,6.977,68.268,0.102200152340775
168,"Airpore Old 3",3,4.468,38.939,0.114743573281286
168,"Airpore Medium 1",4,6.941,59.642,0.116377720398377
168,"Airpore Medium 2",5,5.747,58.449,0.0983250355010351
171,"background",0,8.247,68.694,0.120054153201153
171,"Airpore Old 1",1,6.949,77.967,0.0891274513576257
171,"Airpore Old 2",2,6.985,67.37,0.103681163722725
171,"Airpore Old 3",3,4.229,38.344,0.11029104944711
171,"Airpore Medium 1",4,6.957,59.486,0.116951887839155
171,"Airpore Medium 2",5,5.825,57.915,0.100578433911767
174,"background",0,8.342,69.232,0.120493413450428
174,"Airpore Old 1",1,6.826,77.208,0.0884105274064864
174,"Airpore Old 2",2,6.785,67.845,0.100007369739848
174,"Airpore Old 3",3,4.426,38.163,0.115976207321227
174,"Airpore Medium 1",4,6.962,59.161,0.117678876286743
174,"Airpore Medium 2",5,5.566,58.159,0.0957031585825066
177,"background",0,8.37,69.023,0.121263926517248
177,"Airpore Old 1",1,6.883,77.744,0.0885341634081087
177,"Airpore Old 2",2,6.976,67.668,0.103091564698233
177,"Airpore Old 3",3,4.412,38.499,0.114600379230629
177,"Airpore Medium 1",4,6.771,59.994,0.112861286128613
177,"Airpore Medium 2",5,5.733,57.977,0.098884040222847
180,"background",0,8.333,69.116,0.120565426239944
180,"Airpore Old 1",1,7.103,77.758,0.0913475140821523
180,"Airpore Old 2",2,6.932,67.362,0.102906683293251
180,"Airpore Old 3",3,4.316,38.25,0.11283660130719
180,"Airpore Medium 1",4,6.716,59.909,0.112103356757749
180,"Airpore Medium 2",5,5.721,57.59,0.0993401632227817
183,"background",0,8.379,69.636,0.120325693606755
183,"Airpore Old 1",1,6.664,78.624,0.0847578347578348
183,"Airpore Old 2",2,6.915,68.014,0.101670244361455
183,"Airpore Old 3",3,4.391,38.521,0.113989771812777
183,"Airpore Medium 1",4,6.912,59.095,0.116964210170065
183,"Airpore Medium 2",5,5.717,57.559,0.0993241717194531
186,"background",0,8.414,69.688,0.120738147170245
186,"Airpore Old 1",1,6.846,78.26,0.0874776386404293
186,"Airpore Old 2",2,6.934,67.525,0.102687893372825
186,"Airpore Old 3",3,4.56,38.414,0.118706721507784
186,"Airpore Medium 1",4,6.794,59.673,0.113853836743586
186,"Airpore Medium 2",5,5.646,57.17,0.098758089907294
189,"background",0,8.482,70.011,0.121152390338661
189,"Airpore Old 1",1,6.96,79.076,0.0880165916333654
189,"Airpore Old 2",2,6.941,66.92,0.103720860729229
189,"Airpore Old 3",3,4.412,38.883,0.113468610961088
189,"Airpore Medium 1",4,6.807,59.271,0.114845371260819
189,"Airpore Medium 2",5,5.809,57.373,0.101249716765726
192,"background",0,8.497,70.35,0.120781805259417
192,"Airpore Old 1",1,6.917,79.046,0.0875060091592237
192,"Airpore Old 2",2,7.044,68.256,0.103199718706048
192,"Airpore Old 3",3,4.568,39.026,0.117050171680418
192,"Airpore Medium 1",4,6.989,58.999,0.118459634909066
192,"Airpore Medium 2",5,5.631,57.345,0.09819513471096
195,"background",0,8.57,70.389,0.121751978292063
195,"Airpore Old 1",1,6.883,78.352,0.0878471513171329
195,"Airpore Old 2",2,6.9,67.74,0.101860053144376
195,"Airpore Old 3",3,4.397,39.04,0.112628073770492
195,"Airpore Medium 1",4,6.873,58.614,0.117258675401781
195,"Airpore Medium 2",5,6.018,57.362,0.104912659949095
198,"background",0,8.508,70.785,0.120194956558593
198,"Airpore Old 1",1,6.787,79.79,0.0850607845594686
198,"Airpore Old 2",2,7.031,67.914,0.103527991283093
198,"Airpore Old 3",3,4.496,38.842,0.115750991195098
198,"Airpore Medium 1",4,6.923,59.381,0.116586113403277
198,"Airpore Medium 2",5,6.015,57.631,0.104370911488609
201,"background",0,8.478,71.105,0.119232121510442
201,"Airpore Old 1",1,6.969,79.636,0.0875106735647195
201,"Airpore Old 2",2,7.177,67.388,0.106502641419837
201,"Airpore Old 3",3,4.474,38.499,0.116210810670407
201,"Airpore Medium 1",4,6.828,58.28,0.117158544955388
201,"Airpore Medium 2",5,5.687,57.061,0.0996652704999912
204,"background",0,8.495,70.884,0.119843688279442
204,"Airpore Old 1",1,6.968,78.868,0.0883501546888472
204,"Airpore Old 2",2,7.18,67.567,0.106264892625098
204,"Airpore Old 3",3,4.514,39.467,0.114374034003091
204,"Airpore Medium 1",4,6.725,59.093,0.113803665408762
204,"Airpore Medium 2",5,5.614,56.706,0.0990018692907276
207,"background",0,8.596,71.273,0.120606681351985
207,"Airpore Old 1",1,6.904,79.457,0.0868897642750167
207,"Airpore Old 2",2,7.143,67.324,0.106098865189234
207,"Airpore Old 3",3,4.384,38.826,0.11291402668315
207,"Airpore Medium 1",4,6.684,59.038,0.11321521731766
207,"Airpore Medium 2",5,5.842,57.069,0.102367309747849
210,"background",0,8.48,71.251,0.119015873461425
210,"Airpore Old 1",1,7.052,79.363,0.0888575280672354
210,"Airpore Old 2",2,7.158,67.794,0.105584565005753
210,"Airpore Old 3",3,4.541,38.667,0.117438642770321
210,"Airpore Medium 1",4,6.904,58.342,0.118336704261081
210,"Airpore Medium 2",5,5.745,57.008,0.100775329778277
213,"background",0,8.52,70.885,0.120194681526416
213,"Airpore Old 1",1,6.757,80.013,0.0844487770737255
213,"Airpore Old 2",2,6.864,67.186,0.102164141338969
213,"Airpore Old 3",3,4.68,37.938,0.123359164953345
213,"Airpore Medium 1",4,6.847,58.13,0.117787717185618
213,"Airpore Medium 2",5,5.676,56.659,0.100178259411567
216,"background",0,8.558,71.568,0.119578582606752
216,"Airpore Old 1",1,6.866,79.515,0.086348487706722
216,"Airpore Old 2",2,6.918,66.734,0.103665298048971
216,"Airpore Old 3",3,4.402,38.543,0.114210103001842
216,"Airpore Medium 1",4,6.897,58.574,0.117748489090723
216,"Airpore Medium 2",5,5.682,56.192,0.101117596810934
219,"background",0,8.684,71.719,0.121083673782401
219,"Airpore Old 1",1,7.136,79.873,0.0893418301553716
219,"Airpore Old 2",2,7.033,66.315,0.106054437155998
219,"Airpore Old 3",3,4.458,38.275,0.116472893533638
219,"Airpore Medium 1",4,6.656,57.862,0.115032318274515
219,"Airpore Medium 2",5,5.575,56.248,0.0991146351870289
222,"background",0,8.616,71.547,0.120424336450166
222,"Airpore Old 1",1,6.851,79.294,0.0863999798219285
222,"Airpore Old 2",2,6.792,66.946,0.101454903952439
222,"Airpore Old 3",3,4.535,37.803,0.119964024019258
222,"Airpore Medium 1",4,6.802,58.017,0.117241498181567
222,"Airpore Medium 2",5,5.774,55.91,0.103273117510284
225,"background",0,8.635,71.555,0.120676402767102
225,"Airpore Old 1",1,6.987,79.526,0.0878580589995725
225,"Airpore Old 2",2,6.722,66.609,0.100917293458842
225,"Airpore Old 3",3,4.582,38.744,0.118263473053892
225,"Airpore Medium 1",4,6.717,58.233,0.115346968213899
225,"Airpore Medium 2",5,5.589,56.323,0.0992312199279158
228,"background",0,8.561,72.298,0.118412680848709
228,"Airpore Old 1",1,6.871,80.494,0.0853603995328844
228,"Airpore Old 2",2,6.791,66.994,0.101367286622683
228,"Airpore Old 3",3,4.423,38.372,0.115266340039612
228,"Airpore Medium 1",4,6.791,57.732,0.11762973740733
228,"Airpore Medium 2",5,5.731,56.195,0.101984162292019
231,"background",0,8.479,72.432,0.117061519770267
231,"Airpore Old 1",1,6.912,80.091,0.0863018316664794
231,"Airpore Old 2",2,6.84,67.096,0.101943483963276
231,"Airpore Old 3",3,4.362,38.822,0.112358971717068
231,"Airpore Medium 1",4,6.716,58.331,0.115136034012789
231,"Airpore Medium 2",5,5.892,56.765,0.10379635338677
234,"background",0,8.633,72.801,0.11858353594044
234,"Airpore Old 1",1,7.149,80.895,0.0883738179121083
234,"Airpore Old 2",2,7.002,66.616,0.105109883511469
