Time,ROI_Name,ROI,Mean_Calcium,Mean_Background,Ratio
60,Airpore Old 1,1,6.723,65.907,0.102007374
60,Airpore Old 2,2,7.828,60.042,0.130375404
60,Airpore Old 3,3,9.463,47.204,0.200470299
60,Airpore Medium 1,4,5.424,36.032,0.15053286
60,Airpore Medium 2,5,8.952,63.023,0.142043381
63,background,0,8.259,53.19,0.155273548
63,Airpore Old 1,1,6.712,65.381,0.102659794
63,Airpore Old 2,2,7.699,60.606,0.127033627
63,Airpore Old 3,3,9.517,46.547,0.204460008
63,Airpore Medium 1,4,5.577,36.35,0.153425034
63,Airpore Medium 2,5,9.041,63.062,0.143366845
66,background,0,8.213,53.47,0.15360015
66,Airpore Old 1,1,6.922,65.082,0.106358133
66,Airpore Old 2,2,7.345,60.828,0.120750312
66,Airpore Old 3,3,9.348,46.68,0.200257069
66,Airpore Medium 1,4,5.541,36.029,0.153792778
66,Airpore Medium 2,5,9.213,62.538,0.14731843
69,background,0,8.288,53.458,0.1550376
69,Airpore Old 1,1,6.632,65.424,0.101369528
69,Airpore Old 2,2,7.526,60.12,0.125182967
69,Airpore Old 3,3,9.07,46.743,0.194039749
69,Airpore Medium 1,4,5.71,36.252,0.157508551
69,Airpore Medium 2,5,9.002,62.706,0.14355883
72,background,0,8.256,53.122,0.155415835
72,Airpore Old 1,1,6.475,64.938,0.099710493
72,Airpore Old 2,2,7.687,59.828,0.12848499
72,Airpore Old 3,3,9.195,47.124,0.195123504
72,Airpore Medium 1,4,5.612,36.326,0.154489897
72,Airpore Medium 2,5,8.805,63.295,0.139110514
75,background,0,8.159,53.448,0.152653046
75,Airpore Old 1,1,6.683,65.565,0.101929383
75,Airpore Old 2,2,7.588,59.659,0.127189527
75,Airpore Old 3,3,9.418,47.04,0.200212585
75,Airpore Medium 1,4,5.392,36.167,0.149086184
75,Airpore Medium 2,5,8.789,62.303,0.141068648
78,background,0,8.043,53.054,0.151600256
78,Airpore Old 1,1,6.554,65.413,0.100194151
78,Airpore Old 2,2,7.384,59.954,0.12316109
78,Airpore Old 3,3,9.255,46.981,0.19699453
78,Airpore Medium 1,4,5.562,36.422,0.152709901
78,Airpore Medium 2,5,9.084,62.642,0.145014527
81,background,0,8.068,53.3,0.151369606
81,Airpore Old 1,1,6.65,64.849,0.102545914
81,Airpore Old 2,2,7.547,59.556,0.126721069
81,Airpore Old 3,3,9.268,47.46,0.195280236
81,Airpore Medium 1,4,5.574,35.711,0.15608636
81,Airpore Medium 2,5,8.598,63.111,0.136236155
84,background,0,8.004,52.886,0.151344401
84,Airpore Old 1,1,6.48,65.676,0.098666179
84,Airpore Old 2,2,7.469,59.361,0.125823352
84,Airpore Old 3,3,9.238,46.736,0.197663471
84,Airpore Medium 1,4,5.494,35.727,0.153777255
84,Airpore Medium 2,5,8.801,62.592,0.140609024
87,background,0,8.023,53.027,0.151300281
87,Airpore Old 1,1,6.367,64.104,0.099322975
87,Airpore Old 2,2,7.347,60.022,0.122405118
87,Airpore Old 3,3,9.394,46.721,0.201065902
87,Airpore Medium 1,4,5.719,35.642,0.160456764
87,Airpore Medium 2,5,8.624,62.959,0.136978033
90,background,0,8.129,52.92,0.153609221
90,Airpore Old 1,1,6.585,64.644,0.101865602
90,Airpore Old 2,2,7.722,60.358,0.127936645
90,Airpore Old 3,3,9.23,46.378,0.199016775
90,Airpore Medium 1,4,5.545,35.844,0.154698136
90,Airpore Medium 2,5,8.835,62.285,0.141847957
93,background,0,8.116,52.523,0.15452278
93,Airpore Old 1,1,6.493,64.848,0.10012645
93,Airpore Old 2,2,7.328,59.33,0.123512557
93,Airpore Old 3,3,9.078,45.879,0.197868306
93,Airpore Medium 1,4,5.468,35.952,0.152091678
93,Airpore Medium 2,5,8.523,62.156,0.137122723
96,background,0,8.11,53.308,0.152134764
96,Airpore Old 1,1,6.692,65.099,0.102797278
96,Airpore Old 2,2,7.36,59.997,0.1226728
96,Airpore Old 3,3,9.104,47.086,0.193348341
96,Airpore Medium 1,4,5.386,35.439,0.151979458
96,Airpore Medium 2,5,8.784,62.592,0.140337423
99,background,0,8.035,52.949,0.151749797
