Time,ROI_Name,ROI,Mean_Calcium,Mean_Background,Ratio
234,Airpore Old 1,1,9.517,40.876,0.232826108
234,Airpore Old 2,2,9.904,42.788,0.231466766
234,Airpore Old 3,3,9.629,43.581,0.220944907
234,Airpore Medium 1,4,10.336,43.295,0.238734265
237,background,0,6.038,41.192,0.146581861
237,Airpore Old 1,1,9.369,40.766,0.229823873
237,Airpore Old 2,2,9.699,43.93,0.220783064
237,Airpore Old 3,3,9.126,43.132,0.211583047
237,Airpore Medium 1,4,10.471,44.148,0.237179487
240,background,0,6.091,41.329,0.147378354
240,Airpore Old 1,1,9.143,41.227,0.22177214
240,Airpore Old 2,2,9.712,43.137,0.225143149
240,Airpore Old 3,3,9.211,43.457,0.211956647
240,Airpore Medium 1,4,10.587,43.876,0.241293646
243,background,0,6.037,40.857,0.147759258
243,Airpore Old 1,1,9.227,41.135,0.224310198
243,Airpore Old 2,2,9.375,42.547,0.22034456
243,Airpore Old 3,3,8.902,42.832,0.207835263
243,Airpore Medium 1,4,10.237,44.245,0.231370776
246,background,0,6.138,41.195,0.148998665
246,Airpore Old 1,1,9.089,41.178,0.220724659
246,Airpore Old 2,2,9.163,43.124,0.212480289
246,Airpore Old 3,3,8.914,43.11,0.20677337
246,Airpore Medium 1,4,9.871,43.671,0.226031005
249,background,0,6.095,41.024,0.148571568
249,Airpore Old 1,1,9.197,41.137,0.223570022
249,Airpore Old 2,2,9.141,42.899,0.21308189
249,Airpore Old 3,3,8.887,42.869,0.207305979
249,Airpore Medium 1,4,10.014,43.569,0.229842319
252,background,0,6.015,41.041,0.146560756
252,Airpore Old 1,1,8.879,40.372,0.219929654
252,Airpore Old 2,2,8.884,43.291,0.205215865
252,Airpore Old 3,3,8.874,43.379,0.204569031
252,Airpore Medium 1,4,10.414,43.78,0.237871174
255,background,0,6.127,41.436,0.147866589
255,Airpore Old 1,1,9.167,40.991,0.223634456
255,Airpore Old 2,2,8.974,43.754,0.205101248
255,Airpore Old 3,3,8.863,43.576,0.203391775
255,Airpore Medium 1,4,10.496,43.685,0.240265537
258,background,0,6.224,41.161,0.151211098
258,Airpore Old 1,1,9.228,41.137,0.224323602
258,Airpore Old 2,2,9.122,43.036,0.211962078
258,Airpore Old 3,3,8.918,43.202,0.206425628
258,Airpore Medium 1,4,10.625,43.342,0.245143279
261,background,0,6.23,40.94,0.152173913
261,Airpore Old 1,1,9.003,41.658,0.216116952
261,Airpore Old 2,2,9.395,43.283,0.217059816
261,Airpore Old 3,3,8.891,43.349,0.205102771
261,Airpore Medium 1,4,10.309,43.925,0.234695504
264,background,0,6.14,41.112,0.149348122
264,Airpore Old 1,1,9.174,40.613,0.225888262
264,Airpore Old 2,2,9.547,42.891,0.222587489
264,Airpore Old 3,3,8.922,43.373,0.205704009
264,Airpore Medium 1,4,10.698,43.631,0.245192638
267,background,0,6.179,41.044,0.150545756
267,Airpore Old 1,1,9.061,40.314,0.224760629
267,Airpore Old 2,2,9.666,43.14,0.224061196
267,Airpore Old 3,3,9.046,43.251,0.209151233
267,Airpore Medium 1,4,10.513,44.1,0.238390023
270,background,0,6.095,40.964,0.148789181
270,Airpore Old 1,1,9.198,41.037,0.224139191
