 ,Area,Mean,Min,Max,Ch,Frame
168,1068.017,45.270,7,159,2,17
169,1068.017,45.468,7,120,2,17
170,2248.080,41.752,3,132,2,17
171,1068.017,9.715,0,48,1,18
172,1068.017,9.866,0,50,1,18
173,1068.017,9.268,0,39,1,18
174,1068.017,10.676,0,46,1,18
175,2248.080,6.524,0,39,1,18
176,1068.017,42.338,8,111,2,18
177,1068.017,44.940,11,124,2,18
178,1068.017,45.395,7,224,2,18
179,1068.017,45.295,7,189,2,18
180,2248.080,41.741,3,115,2,18
181,1068.017,9.359,0,46,1,19
182,1068.017,9.630,0,40,1,19
183,1068.017,9.310,0,50,1,19
184,1068.017,10.483,0,42,1,19
185,2248.080,6.546,0,35,1,19
186,1068.017,42.202,8,104,2,19
187,1068.017,44.940,7,126,2,19
188,1068.017,45.122,7,120,2,19
189,1068.017,45.512,7,138,2,19
190,2248.080,41.364,3,155,2,19
191,1068.017,9.467,0,46,1,20
192,1068.017,9.866,0,43,1,20
193,1068.017,9.285,0,44,1,20
194,1068.017,10.230,0,46,1,20
195,2248.080,6.606,0,39,1,20
196,1068.017,42.263,7,115,2,20
197,1068.017,45.115,7,112,2,20
198,1068.017,45.137,7,106,2,20
199,1068.017,45.188,8,135,2,20
200,2248.080,41.685,3,137,2,20
201,1068.017,9.499,0,39,1,21
202,1068.017,9.674,0,51,1,21
203,1068.017,9.318,0,42,1,21
204,1068.017,10.154,0,50,1,21
205,2248.080,6.515,0,36,1,21
206,1068.017,42.073,8,96,2,21
207,1068.017,45.051,7,123,2,21
208,1068.017,44.832,7,193,2,21
209,1068.017,45.391,7,134,2,21
210,2248.080,41.699,3,156,2,21
211,1068.017,9.723,0,46,1,22
212,1068.017,9.685,0,50,1,22
213,1068.017,9.104,0,39,1,22
214,1068.017,10.331,0,51,1,22
215,2248.080,6.364,0,43,1,22
216,1068.017,41.949,11,114,2,22
217,1068.017,45.696,7,135,2,22
218,1068.017,45.100,3,108,2,22
219,1068.017,45.116,8,126,2,22
220,2248.080,41.811,7,168,2,22
