"","ROI","Area","Mean","Min","Max","Channel","Frame","Time","SensorName","ROIName"
"84",4,1068.017,10.224,0,51,1,9,24,"GFP","Airpore Medium 1"
"85",5,2248.08,6.52,0,35,1,9,24,"GFP","background"
"86",1,1068.017,42.46,7,100,2,9,24,"RFP","Airpore Old 1"
"87",2,1068.017,46.413,7,159,2,9,24,"RFP","Airpore Old 2"
"88",3,1068.017,45.041,7,127,2,9,24,"RFP","Airpore Old 3"
"89",4,1068.017,46.454,7,185,2,9,24,"RFP","Airpore Medium 1"
"90",5,2248.08,42.032,3,159,2,9,24,"RFP","background"
"91",1,1068.017,9.406,0,43,1,10,27,"GFP","Airpore Old 1"
"92",2,1068.017,9.889,0,43,1,10,27,"GFP","Airpore Old 2"
"93",3,1068.017,9.376,0,46,1,10,27,"GFP","Airpore Old 3"
"94",4,1068.017,10.246,0,55,1,10,27,"GFP","Airpore Medium 1"
"95",5,2248.08,6.558,0,36,1,10,27,"GFP","background"
"96",1,1068.017,42.219,7,99,2,10,27,"RFP","Airpore Old 1"
"97",2,1068.017,46.616,12,140,2,10,27,"RFP","Airpore Old 2"
"98",3,1068.017,45.908,3,120,2,10,27,"RFP","Airpore Old 3"
"99",4,1068.017,45.63,11,135,2,10,27,"RFP","Airpore Medium 1"
"100",5,2248.08,41.707,3,133,2,10,27,"RFP","background"
"101",1,1068.017,9.336,0,48,1,11,30,"GFP","Airpore Old 1"
"102",2,1068.017,10.017,0,46,1,11,30,"GFP","Airpore Old 2"
"103",3,1068.017,9.335,0,42,1,11,30,"GFP","Airpore Old 3"
"104",4,1068.017,10.23,0,39,1,11,30,"GFP","Airpore Medium 1"
"105",5,2248.08,6.494,0,38,1,11,30,"GFP","background"
"106",1,1068.017,42.377,7,104,2,11,30,"RFP","Airpore Old 1"
"107",2,1068.017,45.415,7,119,2,11,30,"RFP","Airpore Old 2"
"108",3,1068.017,45.18,3,116,2,11,30,"RFP","Airpore Old 3"
"109",4,1068.017,46.331,7,121,2,11,30,"RFP","Airpore Medium 1"
"110",5,2248.08,41.679,3,150,2,11,30,"RFP","background"
"111",1,1068.017,9.445,0,43,1,12,33,"GFP","Airpore Old 1"
"112",2,1068.017,9.844,0,51,1,12,33,"GFP","Airpore Old 2"
"113",3,1068.017,9.087,0,46,1,12,33,"GFP","Airpore Old 3"
"114",4,1068.017,10.267,0,47,1,12,33,"GFP","Airpore Medium 1"
"115",5,2248.08,6.56,0,35,1,12,33,"GFP","background"
"116",1,1068.017,42.46,3,168,2,12,33,"RFP","Airpore Old 1"
"117",2,1068.017,46.127,11,109,2,12,33,"RFP","Airpore Old 2"
"118",3,1068.017,45.515,7,119,2,12,33,"RFP","Airpore Old 3"
"119",4,1068.017,46.083,7,135,2,12,33,"RFP","Airpore Medium 1"
"120",5,2248.08,41.69,3,124,2,12,33,"RFP","background"
"121",1,1068.017,9.311,0,54,1,13,36,"GFP","Airpore Old 1"
"122",2,1068.017,9.941,0,50,1,13,36,"GFP","Airpore Old 2"
"123",3,1068.017,9.304,0,46,1,13,36,"GFP","Airpore Old 3"
"124",4,1068.017,10.617,0,43,1,13,36,"GFP","Airpore Medium 1"
"125",5,2248.08,6.471,0,39,1,13,36,"GFP","background"
"126",1,1068.017,42.52,7,155,2,13,36,"RFP","Airpore Old 1"
"127",2,1068.017,45.827,7,255,2,13,36,"RFP","Airpore Old 2"
"128",3,1068.017,45.528,3,105,2,13,36,"RFP","Airpore Old 3"
"129",4,1068.017,46.269,7,131,2,13,36,"RFP","Airpore Medium 1"
