"Sample","Time","ROI_Name","Mean_Calcium","Mean_Background","Ratio","File_Name"
"cngc3",204,"background",7.746,52.753,0.146835251,"MAX_CNGC 1 2158-6 14,07,25_1-Wrangled.csv"
"cngc3",204,"Airpore Old 1",6.229,65.43,0.095200978,"MAX_CNGC 1 2158-6 14,07,25_1-Wrangled.csv"
"cngc3",204,"Airpore Old 2",6.918,59.47,0.11632756,"MAX_CNGC 1 2158-6 14,07,25_1-Wrangled.csv"
"cngc3",204,"Airpore Old 3",8.941,47.741,0.187281372,"MAX_CNGC 1 2158-6 14,07,25_1-Wrangled.csv"
"cngc3",204,"Airpore Medium 1",5.039,34.412,0.146431477,"MAX_CNGC 1 2158-6 14,07,25_1-Wrangled.csv"
"cngc3",204,"Airpore Medium 2",8.223,61.891,0.132862613,"MAX_CNGC 1 2158-6 14,07,25_1-Wrangled.csv"
"cngc3",207,"background",7.707,52.571,0.146601739,"MAX_CNGC 1 2158-6 14,07,25_1-Wrangled.csv"
"cngc3",207,"Airpore Old 1",6.151,65.533,0.093861108,"MAX_CNGC 1 2158-6 14,07,25_1-Wrangled.csv"
"cngc3",207,"Airpore Old 2",6.811,59.133,0.115181033,"MAX_CNGC 1 2158-6 14,07,25_1-Wrangled.csv"
"cngc3",207,"Airpore Old 3",8.844,47.019,0.188094175,"MAX_CNGC 1 2158-6 14,07,25_1-Wrangled.csv"
"cngc3",207,"Airpore Medium 1",5.345,34.332,0.155685658,"MAX_CNGC 1 2158-6 14,07,25_1-Wrangled.csv"
"cngc3",207,"Airpore Medium 2",8.338,62.185,0.134083782,"MAX_CNGC 1 2158-6 14,07,25_1-Wrangled.csv"
"cngc3",210,"background",7.745,52.772,0.146763435,"MAX_CNGC 1 2158-6 14,07,25_1-Wrangled.csv"
"cngc3",210,"Airpore Old 1",6.192,66.011,0.093802548,"MAX_CNGC 1 2158-6 14,07,25_1-Wrangled.csv"
"cngc3",210,"Airpore Old 2",6.858,58.803,0.116626703,"MAX_CNGC 1 2158-6 14,07,25_1-Wrangled.csv"
"cngc3",210,"Airpore Old 3",9.067,47.154,0.192284854,"MAX_CNGC 1 2158-6 14,07,25_1-Wrangled.csv"
"cngc3",210,"Airpore Medium 1",4.948,34.536,0.14327079,"MAX_CNGC 1 2158-6 14,07,25_1-Wrangled.csv"
"cngc3",210,"Airpore Medium 2",8.229,62.838,0.130955791,"MAX_CNGC 1 2158-6 14,07,25_1-Wrangled.csv"
"cngc3",213,"background",7.745,52.838,0.146580113,"MAX_CNGC 1 2158-6 14,07,25_1-Wrangled.csv"
"cngc3",213,"Airpore Old 1",6.333,65.792,0.096257904,"MAX_CNGC 1 2158-6 14,07,25_1-Wrangled.csv"
