"ROI","Area","Mean","Min","Max","Channel","Frame","Time","SensorName","ROIName"
6,1477.267,9.899,0,58,1,7,18,"GFP","Airpore young 1"
7,3181.805,6.787,0,35,1,7,18,"GFP","background"
1,1896.544,34.471,0,110,2,7,18,"RFP","Airpore Old 1"
2,1832.281,45.962,7,127,2,7,18,"RFP","Airpore Old 2"
3,1832.281,46.805,7,111,2,7,18,"RFP","Airpore Old 3"
4,1832.281,36.643,0,110,2,7,18,"RFP","Airpore Medium 1"
5,1832.281,45.949,8,131,2,7,18,"RFP","Airpore Medium 2"
6,1477.267,42.7,7,99,2,7,18,"RFP","Airpore young 1"
7,3181.805,38.666,3,147,2,7,18,"RFP","background"
1,1896.544,7.921,0,28,1,8,21,"GFP","Airpore Old 1"
2,1832.281,12.098,0,48,1,8,21,"GFP","Airpore Old 2"
3,1832.281,11.495,0,51,1,8,21,"GFP","Airpore Old 3"
4,1832.281,7.618,0,27,1,8,21,"GFP","Airpore Medium 1"
5,1832.281,9.456,0,51,1,8,21,"GFP","Airpore Medium 2"
6,1477.267,9.663,0,40,1,8,21,"GFP","Airpore young 1"
7,3181.805,6.898,0,31,1,8,21,"GFP","background"
1,1896.544,34.128,3,96,2,8,21,"RFP","Airpore Old 1"
2,1832.281,45.566,11,104,2,8,21,"RFP","Airpore Old 2"
3,1832.281,46.68,11,115,2,8,21,"RFP","Airpore Old 3"
4,1832.281,36.562,3,100,2,8,21,"RFP","Airpore Medium 1"
5,1832.281,46.298,11,139,2,8,21,"RFP","Airpore Medium 2"
6,1477.267,42.586,8,118,2,8,21,"RFP","Airpore young 1"
7,3181.805,38.663,3,128,2,8,21,"RFP","background"
1,1896.544,8.095,0,35,1,9,24,"GFP","Airpore Old 1"
2,1832.281,11.83,0,59,1,9,24,"GFP","Airpore Old 2"
3,1832.281,11.212,0,41,1,9,24,"GFP","Airpore Old 3"
4,1832.281,7.859,0,35,1,9,24,"GFP","Airpore Medium 1"
5,1832.281,9.309,0,43,1,9,24,"GFP","Airpore Medium 2"
6,1477.267,9.291,0,46,1,9,24,"GFP","Airpore young 1"
7,3181.805,6.87,0,36,1,9,24,"GFP","background"
1,1896.544,34.049,0,100,2,9,24,"RFP","Airpore Old 1"
2,1832.281,45.402,7,123,2,9,24,"RFP","Airpore Old 2"
3,1832.281,46.889,7,112,2,9,24,"RFP","Airpore Old 3"
4,1832.281,36.474,3,104,2,9,24,"RFP","Airpore Medium 1"
5,1832.281,45.857,7,114,2,9,24,"RFP","Airpore Medium 2"
6,1477.267,42.507,11,127,2,9,24,"RFP","Airpore young 1"
7,3181.805,37.971,3,112,2,9,24,"RFP","background"
1,1896.544,8.041,0,43,1,10,27,"GFP","Airpore Old 1"
2,1832.281,11.679,0,47,1,10,27,"GFP","Airpore Old 2"
3,1832.281,10.924,0,39,1,10,27,"GFP","Airpore Old 3"
4,1832.281,7.91,0,43,1,10,27,"GFP","Airpore Medium 1"
5,1832.281,9.278,0,39,1,10,27,"GFP","Airpore Medium 2"
6,1477.267,9.747,0,47,1,10,27,"GFP","Airpore young 1"
7,3181.805,6.866,0,27,1,10,27,"GFP","background"
1,1896.544,34.73,0,106,2,10,27,"RFP","Airpore Old 1"
2,1832.281,45.784,8,108,2,10,27,"RFP","Airpore Old 2"
3,1832.281,46.67,7,108,2,10,27,"RFP","Airpore Old 3"
4,1832.281,36.629,0,107,2,10,27,"RFP","Airpore Medium 1"
5,1832.281,45.434,11,111,2,10,27,"RFP","Airpore Medium 2"
6,1477.267,42.085,12,91,2,10,27,"RFP","Airpore young 1"
7,3181.805,38.489,3,111,2,10,27,"RFP","background"
1,1896.544,8.178,0,40,1,11,30,"GFP","Airpore Old 1"
2,1832.281,11.662,0,51,1,11,30,"GFP","Airpore Old 2"
3,1832.281,10.911,0,46,1,11,30,"GFP","Airpore Old 3"
4,1832.281,7.935,0,40,1,11,30,"GFP","Airpore Medium 1"
5,1832.281,9.026,0,40,1,11,30,"GFP","Airpore Medium 2"
6,1477.267,9.685,0,43,1,11,30,"GFP","Airpore young 1"
7,3181.805,6.816,0,31,1,11,30,"GFP","background"
1,1896.544,34.408,3,108,2,11,30,"RFP","Airpore Old 1"
2,1832.281,45.35,7,169,2,11,30,"RFP","Airpore Old 2"
3,1832.281,46.803,11,123,2,11,30,"RFP","Airpore Old 3"
4,1832.281,36.234,3,108,2,11,30,"RFP","Airpore Medium 1"
5,1832.281,45.37,11,122,2,11,30,"RFP","Airpore Medium 2"
6,1477.267,42.411,11,155,2,11,30,"RFP","Airpore young 1"
7,3181.805,37.953,3,112,2,11,30,"RFP","background"
1,1896.544,8.407,0,42,1,12,33,"GFP","Airpore Old 1"
2,1832.281,11.562,0,47,1,12,33,"GFP","Airpore Old 2"
3,1832.281,10.743,0,40,1,12,33,"GFP","Airpore Old 3"
4,1832.281,8.1,0,42,1,12,33,"GFP","Airpore Medium 1"
5,1832.281,8.989,0,35,1,12,33,"GFP","Airpore Medium 2"
6,1477.267,9.537,0,50,1,12,33,"GFP","Airpore young 1"
7,3181.805,6.831,0,32,1,12,33,"GFP","background"
1,1896.544,34.226,3,112,2,12,33,"RFP","Airpore Old 1"
2,1832.281,45.092,7,163,2,12,33,"RFP","Airpore Old 2"
3,1832.281,46.507,11,115,2,12,33,"RFP","Airpore Old 3"
4,1832.281,36.416,3,112,2,12,33,"RFP","Airpore Medium 1"
5,1832.281,45.346,11,114,2,12,33,"RFP","Airpore Medium 2"
6,1477.267,41.584,7,91,2,12,33,"RFP","Airpore young 1"
7,3181.805,38.033,3,135,2,12,33,"RFP","background"
1,1896.544,8.447,0,43,1,13,36,"GFP","Airpore Old 1"
2,1832.281,11.682,0,47,1,13,36,"GFP","Airpore Old 2"
3,1832.281,11.167,0,46,1,13,36,"GFP","Airpore Old 3"
4,1832.281,8.2,0,43,1,13,36,"GFP","Airpore Medium 1"
5,1832.281,9.02,0,43,1,13,36,"GFP","Airpore Medium 2"
6,1477.267,9.587,0,43,1,13,36,"GFP","Airpore young 1"
7,3181.805,6.801,0,36,1,13,36,"GFP","background"
1,1896.544,34.722,0,99,2,13,36,"RFP","Airpore Old 1"
2,1832.281,45.228,8,120,2,13,36,"RFP","Airpore Old 2"
3,1832.281,46.866,11,128,2,13,36,"RFP","Airpore Old 3"
4,1832.281,36.788,3,99,2,13,36,"RFP","Airpore Medium 1"
5,1832.281,45.249,11,99,2,13,36,"RFP","Airpore Medium 2"
6,1477.267,42.184,7,87,2,13,36,"RFP","Airpore young 1"
7,3181.805,38.178,0,118,2,13,36,"RFP","background"
1,1896.544,7.94,0,43,1,14,39,"GFP","Airpore Old 1"
2,1832.281,11.682,0,46,1,14,39,"GFP","Airpore Old 2"
3,1832.281,11.874,0,55,1,14,39,"GFP","Airpore Old 3"
4,1832.281,7.914,0,43,1,14,39,"GFP","Airpore Medium 1"
5,1832.281,8.966,0,35,1,14,39,"GFP","Airpore Medium 2"
6,1477.267,9.449,0,35,1,14,39,"GFP","Airpore young 1"
7,3181.805,6.995,0,31,1,14,39,"GFP","background"
1,1896.544,34.421,3,95,2,14,39,"RFP","Airpore Old 1"
2,1832.281,45.311,8,111,2,14,39,"RFP","Airpore Old 2"
3,1832.281,46.558,8,116,2,14,39,"RFP","Airpore Old 3"
4,1832.281,36.561,3,96,2,14,39,"RFP","Airpore Medium 1"
5,1832.281,45.121,11,139,2,14,39,"RFP","Airpore Medium 2"
6,1477.267,42.305,11,100,2,14,39,"RFP","Airpore young 1"
7,3181.805,38.286,3,111,2,14,39,"RFP","background"
1,1896.544,7.954,0,40,1,15,42,"GFP","Airpore Old 1"
2,1832.281,11.608,0,46,1,15,42,"GFP","Airpore Old 2"
3,1832.281,12.262,0,50,1,15,42,"GFP","Airpore Old 3"
4,1832.281,7.922,0,35,1,15,42,"GFP","Airpore Medium 1"
5,1832.281,8.997,0,80,1,15,42,"GFP","Airpore Medium 2"
6,1477.267,9.423,0,55,1,15,42,"GFP","Airpore young 1"
7,3181.805,6.86,0,48,1,15,42,"GFP","background"
1,1896.544,34.27,3,96,2,15,42,"RFP","Airpore Old 1"
2,1832.281,46.086,7,114,2,15,42,"RFP","Airpore Old 2"
3,1832.281,46.566,7,120,2,15,42,"RFP","Airpore Old 3"
4,1832.281,36.645,3,96,2,15,42,"RFP","Airpore Medium 1"
5,1832.281,45.625,11,113,2,15,42,"RFP","Airpore Medium 2"
6,1477.267,41.606,11,91,2,15,42,"RFP","Airpore young 1"
7,3181.805,38.198,7,116,2,15,42,"RFP","background"
1,1896.544,7.732,0,39,1,16,45,"GFP","Airpore Old 1"
2,1832.281,11.285,0,40,1,16,45,"GFP","Airpore Old 2"
3,1832.281,12.06,0,54,1,16,45,"GFP","Airpore Old 3"
4,1832.281,7.527,0,39,1,16,45,"GFP","Airpore Medium 1"
5,1832.281,9.051,0,36,1,16,45,"GFP","Airpore Medium 2"
