"ROI","Area","Mean","Min","Max","Channel","Frame","Time","SensorName","ROIName"
1,774.131,7.211,0,35,1,1,0,"GFP","Airpore Old 1"
2,774.131,8.057,0,49,1,1,0,"GFP","Airpore Old 2"
3,774.131,9.083,0,31,1,1,0,"GFP","Airpore Old 3"
4,774.131,5.493,0,27,1,1,0,"GFP","Airpore Medium 1"
5,774.131,9.184,0,36,1,1,0,"GFP","Airpore Medium 2"
6,3433.351,8.19,0,35,1,1,0,"GFP","background"
1,774.131,69.1,23,146,2,1,0,"RFP","Airpore Old 1"
2,774.131,63.621,19,241,2,1,0,"RFP","Airpore Old 2"
3,774.131,46.458,7,159,2,1,0,"RFP","Airpore Old 3"
4,774.131,39.455,3,129,2,1,0,"RFP","Airpore Medium 1"
5,774.131,65.808,19,228,2,1,0,"RFP","Airpore Medium 2"
6,3433.351,55.858,7,255,2,1,0,"RFP","background"
1,774.131,7.196,0,31,1,2,3,"GFP","Airpore Old 1"
2,774.131,8.018,0,31,1,2,3,"GFP","Airpore Old 2"
3,774.131,8.913,0,35,1,2,3,"GFP","Airpore Old 3"
4,774.131,5.599,0,24,1,2,3,"GFP","Airpore Medium 1"
5,774.131,9.256,0,43,1,2,3,"GFP","Airpore Medium 2"
6,3433.351,8.411,0,39,1,2,3,"GFP","background"
1,774.131,70.051,19,193,2,2,3,"RFP","Airpore Old 1"
2,774.131,64.201,15,250,2,2,3,"RFP","Airpore Old 2"
3,774.131,47.216,11,129,2,2,3,"RFP","Airpore Old 3"
4,774.131,38.721,0,127,2,2,3,"RFP","Airpore Medium 1"
5,774.131,65.402,19,255,2,2,3,"RFP","Airpore Medium 2"
6,3433.351,55.964,3,255,2,2,3,"RFP","background"
1,774.131,7.232,0,31,1,3,6,"GFP","Airpore Old 1"
2,774.131,8.312,0,43,1,3,6,"GFP","Airpore Old 2"
3,774.131,9.169,0,39,1,3,6,"GFP","Airpore Old 3"
4,774.131,5.691,0,40,1,3,6,"GFP","Airpore Medium 1"
