"","Time","1","4","2","3"
"1",0,1.4504207609316,1.46646797241442,1.45958065391642,1.34832125813884
"2",3,1.4178563193143,1.41437850514491,1.38023618084249,1.30054927552061
"3",6,1.4146076055273,1.44907762541717,1.36225130582347,1.34003768285852
"4",9,1.40901205899301,1.43819431086608,1.37218240490918,1.32450682493763
"5",12,1.38869277390996,1.41899930143691,1.42478058327277,1.3197974709319
"6",15,1.41785125063751,1.43092048896328,1.41435044176131,1.34349063349564
"7",18,1.45116005095712,1.50139027874494,1.39538481853608,1.32638469405714
"8",21,1.43911931768786,1.42405931317461,1.3672867124917,1.27281882963826
"9",24,1.43249915474398,1.41882941922097,1.39910933035342,1.33924818056023
"10",27,1.41688489912035,1.42804345279068,1.34913345402901,1.29887322811155
"11",30,1.41395517187266,1.417127630583,1.41560915094993,1.32609031076188
"12",33,1.41367646594212,1.41589443199783,1.35626467647381,1.26880253226623
"13",36,1.41471932885892,1.48244612923641,1.40144436766391,1.32025659484358
"14",39,1.445527201554,1.56146636006705,1.3805639708468,1.33281222490441
"15",42,1.4039803144964,1.54383167978951,1.3591120665812,1.29862491445718
"16",45,1.43160944237734,1.51595241314867,1.3712801423767,1.30782791986657
"17",48,1.41634881544326,1.5471180200335,1.35169861358571,1.31368634465995
"18",51,1.4681193519879,1.50802033592847,1.40461382940726,1.30625179929914
"19",54,1.40133814101972,1.45547983718882,1.35406573261752,1.30379066818379
"20",57,1.41349179480603,1.42854442318968,1.37994375661029,1.29804710805052
"21",60,1.44505916050345,1.43178770398377,1.37439911751418,1.33028842598451
"22",63,1.5227866373431,1.50443059650578,1.39245709725201,1.32622158176327
"23",66,1.45733275786308,1.45456927465603,1.40242966958079,1.33935085070714
"24",69,1.4346579914023,1.43956138652543,1.39335894906844,1.33224649255201
"25",72,1.42764733795318,1.42588044555336,1.37370077210376,1.32140050808904
"26",75,1.4833636464111,1.44719664364846,1.4066684431823,1.36052115741369
"27",78,1.47878845710378,1.45716431463448,1.37959856759899,1.343585714779
"28",81,1.47867766974428,1.49255172372497,1.40279369776677,1.35693574280132
"29",84,1.46994952023448,1.45742077228041,1.4021604070688,1.37291589042979
"30",87,1.4824804452789,1.46053048443452,1.4312904639493,1.34018441030585
"31",90,1.53906282972938,1.44775145959709,1.39227183691946,1.37863996556982
"32",93,1.58565633647651,1.52870013619867,1.40740156027068,1.37260513499889
"33",96,1.60611424579494,1.43939170450873,1.3856461482173,1.3648692340644
"34",99,1.53803505205088,1.40181716053573,1.34247260436705,1.32901681867753
"35",102,1.49598764572444,1.45583876283817,1.43081937836607,1.33035710576927
"36",105,1.47449952129853,1.40520175503212,1.3778871075885,1.36118688999259
"37",108,1.50859470995329,1.4167248187291,1.3743249234719,1.33086190476741
"38",111,1.46823189050851,1.43671598640027,1.39374019933488,1.36302119555143
"39",114,1.51003272104833,1.44483747821689,1.39447716141659,1.36175139006463
"40",117,1.49765962980409,1.39777188205994,1.40008523606563,1.34038782404952
"41",120,1.45086444607288,1.39461612929433,1.36216972080946,1.40640294239094
"42",123,1.54145362662305,1.43186266796015,1.41931304992558,1.37872432602127
"43",126,1.49079089104068,1.43293623292053,1.42314237742122,1.43946975987009
"44",129,1.51107260504935,1.45284974307027,1.4072629041789,1.38487052280292
"45",132,1.49856451948856,1.45378042809797,1.41522423576784,1.38227869935004
"46",135,1.52021595386768,1.428842388717,1.48864672545316,1.42709331073104
"47",138,1.48725160635766,1.38329332972709,1.45592661695585,1.40307801740829
"48",141,1.47906167510649,1.36356362015763,1.39437459173651,1.45863031509282
"49",144,1.48247112117065,1.37293228316721,1.42487582234872,1.55830632687784
"50",147,1.48308160521578,1.41356703107896,1.41739761387046,1.49423619612289
"51",150,1.450724934759,1.41221450787131,1.41007628024789,1.47532064525631
"52",153,1.47434382001478,1.42981303048403,1.4236468810245,1.47628571112346
"53",156,1.4806421131076,1.38346463608057,1.44962816493512,1.45633033726369
"54",159,1.46918945746139,1.3903610329939,1.4234950989999,1.43717002502813
"55",162,1.46686143022986,1.40905714610652,1.4254525162081,1.38159518052209
"56",165,1.5229801967973,1.41693610370088,1.45352242188632,1.36374256734445
"57",168,1.54457358088727,1.3760160222747,1.39350071688094,1.35665379064163
"58",171,1.47013247381327,1.48186045236287,1.38849593874655,1.32510622725517
"59",174,1.47334836961497,1.50605639487198,1.37712170667148,1.34046893594042
"60",177,1.47150485658113,1.48535620669091,1.36406283859565,1.39716573487715
"61",180,1.46336255733969,1.46556834596703,1.39681206033871,1.37836972105056
"62",183,1.40295919392124,1.41060247387298,1.3825852890329,1.33395489398711
"63",186,1.46868811175054,1.4419727304575,1.40485576609,1.35248760264203
"64",189,1.46301605401632,1.49071849848371,1.53921547585734,1.41139662211032
"65",192,1.53860714949413,1.45776656774419,1.56176150878242,1.41789121920181
"66",195,1.53337881405618,1.4217150884086,1.51367448945166,1.40445299585994
"67",198,1.5172328537437,1.41054194030438,1.49024817144018,1.40029712803269
"68",201,1.51668710460636,1.44374334747553,1.46077526099682,1.45877028073954
"69",204,1.50697510113845,1.44871002781217,1.39270427564891,1.45978143432597
"70",207,1.46647258227009,1.39203052212426,1.38487396386695,1.40910223575647
"71",210,1.4528129848912,1.43074386101222,1.39091202776795,1.35024670457251
"72",213,1.50645482502511,1.59194517365982,1.37249676744571,1.40727260699224
