"Time","ROIName","ROI","Mean_Calcium","Mean_Background","Ratio"
294,"background",0,7.716,52.509,0.146946237787808
294,"Airpore Old 1",1,6.204,66.205,0.0937089343705158
294,"Airpore Old 2",2,6.535,59.148,0.110485561641983
294,"Airpore Old 3",3,8.799,47.448,0.18544511886697
294,"Airpore Medium 1",4,5.139,33.362,0.154037527726156
294,"Airpore Medium 2",5,8.316,63.62,0.130713612071676
297,"background",0,7.838,52.778,0.148508848383796
297,"Airpore Old 1",1,5.959,66.721,0.089312210548403
297,"Airpore Old 2",2,6.498,58.248,0.111557478368356
297,"Airpore Old 3",3,8.951,47.278,0.189326959685266
297,"Airpore Medium 1",4,4.956,33.758,0.146809645121156
297,"Airpore Medium 2",5,8.29,63.672,0.130198517401684
300,"background",0,7.514,52.674,0.14265102327524
300,"Airpore Old 1",1,6.129,65.905,0.092997496396328
300,"Airpore Old 2",2,6.637,58.643,0.11317633818188
300,"Airpore Old 3",3,8.751,47.179,0.185485067508849
300,"Airpore Medium 1",4,4.795,33.582,0.142784825203978
300,"Airpore Medium 2",5,8.184,62.602,0.130730647583144
303,"background",0,7.566,52.105,0.145206793973707
303,"Airpore Old 1",1,6.248,65.436,0.0954826089614279
303,"Airpore Old 2",2,6.756,58.69,0.115113307207361
303,"Airpore Old 3",3,9.016,47.543,0.189638853248638
303,"Airpore Medium 1",4,4.968,33.58,0.147945205479452
303,"Airpore Medium 2",5,8.39,62.839,0.13351581024523
306,"background",0,7.544,52.152,0.144654088050314
306,"Airpore Old 1",1,6.192,65.84,0.0940461725394897
306,"Airpore Old 2",2,6.595,58.451,0.112829549537219
306,"Airpore Old 3",3,8.852,46.989,0.18838451552491
306,"Airpore Medium 1",4,4.942,33.211,0.148806118454729
306,"Airpore Medium 2",5,8.238,62.965,0.130834590645597
309,"background",0,7.618,52.129,0.146137466669224
309,"Airpore Old 1",1,6.148,65.895,0.0932999468851961
309,"Airpore Old 2",2,6.722,58.165,0.115567781311785
309,"Airpore Old 3",3,8.78,47.483,0.184908282964429
309,"Airpore Medium 1",4,5.146,33.237,0.154827451334356
309,"Airpore Medium 2",5,8.259,61.985,0.133241913366137
312,"background",0,7.504,52.147,0.143900895545285
312,"Airpore Old 1",1,6.258,66.284,0.0944119244463219
312,"Airpore Old 2",2,6.825,58.265,0.117137217883807
312,"Airpore Old 3",3,9.259,47.378,0.195428257841192
312,"Airpore Medium 1",4,5.2,33.272,0.156287569127194
312,"Airpore Medium 2",5,8.412,62.926,0.133680831452818
315,"background",0,7.624,52.36,0.145607333842628
315,"Airpore Old 1",1,6.088,66.569,0.0914539800808184
315,"Airpore Old 2",2,6.615,58.171,0.113716456653659
315,"Airpore Old 3",3,8.889,48.077,0.184890904174553
315,"Airpore Medium 1",4,4.78,33.445,0.142921213933323
315,"Airpore Medium 2",5,8.339,62.921,0.132531269369527
318,"background",0,7.607,53.113,0.143222939769925
318,"Airpore Old 1",1,6.391,67.086,0.0952657782547775
318,"Airpore Old 2",2,6.744,58.501,0.115280080682381
318,"Airpore Old 3",3,8.789,48.409,0.181557148464129
318,"Airpore Medium 1",4,5.048,33.639,0.15006391390945
318,"Airpore Medium 2",5,8.517,63.09,0.134997622444127
321,"background",0,7.609,52.65,0.144520417853751
321,"Airpore Old 1",1,6.067,66.215,0.0916257645548592
321,"Airpore Old 2",2,6.551,59.234,0.110595266232231
321,"Airpore Old 3",3,8.998,47.697,0.188649181290228
321,"Airpore Medium 1",4,4.848,33.605,0.144264246391906
321,"Airpore Medium 2",5,8.299,63.547,0.130596251593309
324,"background",0,7.607,52.55,0.144757373929591
324,"Airpore Old 1",1,6.092,66.928,0.091023189098733
324,"Airpore Old 2",2,6.82,59.293,0.11502200934343
324,"Airpore Old 3",3,8.79,48.579,0.180942382510962
324,"Airpore Medium 1",4,4.868,33.451,0.145526292188574
324,"Airpore Medium 2",5,8.426,63.984,0.131689172293073
327,"background",0,7.726,52.637,0.146778881775177
327,"Airpore Old 1",1,6.103,66.548,0.0917082406683897
327,"Airpore Old 2",2,6.611,59.002,0.112047049252568
327,"Airpore Old 3",3,8.85,47.474,0.186417828706239
327,"Airpore Medium 1",4,4.779,33.283,0.143586816092299
327,"Airpore Medium 2",5,8.325,62.695,0.132785708589202
330,"background",0,7.612,52.969,0.143706696369575
330,"Airpore Old 1",1,6.171,66.484,0.092819324950364
330,"Airpore Old 2",2,6.706,59.407,0.112882320265289
330,"Airpore Old 3",3,8.769,48.336,0.181417576961271
330,"Airpore Medium 1",4,4.79,33.648,0.14235615786971
330,"Airpore Medium 2",5,8.418,63.465,0.132640037816119
333,"background",0,7.528,52.683,0.142892394130934
333,"Airpore Old 1",1,6.093,66.756,0.0912726945892504
333,"Airpore Old 2",2,6.913,59.287,0.116602290552735
333,"Airpore Old 3",3,8.878,47.844,0.185561407909038
333,"Airpore Medium 1",4,4.745,33.612,0.141169820302273
333,"Airpore Medium 2",5,8.206,64.713,0.126806051334353
336,"background",0,7.626,52.428,0.145456626230259
336,"Airpore Old 1",1,6.102,67.003,0.091070549079892
336,"Airpore Old 2",2,6.704,58.68,0.114246762099523
336,"Airpore Old 3",3,8.744,47.545,0.183909980018929
336,"Airpore Medium 1",4,4.789,33.012,0.145068459953956
336,"Airpore Medium 2",5,8.216,63.426,0.129536783022735
339,"background",0,7.426,52.363,0.141817695701163
339,"Airpore Old 1",1,5.984,66.913,0.0894295577839882
339,"Airpore Old 2",2,6.757,58.949,0.114624505928854
339,"Airpore Old 3",3,8.661,47.108,0.183854122442048
339,"Airpore Medium 1",4,4.99,33.427,0.149280521733928
339,"Airpore Medium 2",5,8.109,63.834,0.127032615847354
342,"background",0,7.517,52.205,0.143990039268269
342,"Airpore Old 1",1,6.096,66.192,0.0920957215373459
342,"Airpore Old 2",2,6.766,58.546,0.115567246267892
342,"Airpore Old 3",3,8.802,46.53,0.189168278529981
342,"Airpore Medium 1",4,4.959,32.921,0.150633334345858
342,"Airpore Medium 2",5,8.334,63.3,0.131658767772512
345,"background",0,7.541,52.424,0.143846329925225
345,"Airpore Old 1",1,6.054,66.558,0.0909582619670062
345,"Airpore Old 2",2,6.7,58.825,0.113897152571186
