"Time","1","2","3","4","5","6"
0,0.270056231047782,0.270517116761942,0.229407848106703,0.241434151785714,0.192480507466631,0.218732848108818
3,0.273484870254892,0.271678443688389,0.222198583069166,0.230631023030435,0.189136991949309,0.214817423975578
6,0.267172442075046,0.267388113649806,0.22080221890335,0.230705827403357,0.195564168819983,0.211335501836988
9,0.251140884624386,0.260203859389293,0.233651284695368,0.215836703041046,0.19992237698909,0.215593441705343
12,0.242777233146877,0.259457816942678,0.229509957677187,0.216231678744619,0.203529106478678,0.210731345360108
15,0.240742907282831,0.254762266773822,0.234187307324333,0.214614878209348,0.209882363024706,0.225781138536168
18,0.237939137245801,0.262194856620687,0.232987928640103,0.211199956335453,0.215260397397114,0.231826697892272
21,0.232096812001875,0.265504981784664,0.246251071122536,0.208358404901264,0.204242083891313,0.226905555816466
24,0.237745601926635,0.260561208757323,0.239117916782188,0.215468552941822,0.203000632400724,0.218575763991813
27,0.231528937517996,0.255089114100996,0.234068995071781,0.215949111359852,0.204208302152573,0.231602708803612
30,0.237677284352476,0.25715545755237,0.233126081661432,0.218993210796489,0.198942032179855,0.228360566834076
33,0.245631975690995,0.256409119134214,0.230997484249683,0.222429701230228,0.198231376527147,0.229343016544825
36,0.243275156961005,0.25829132395861,0.238275082149106,0.22289877133848,0.199341421909876,0.227266262089892
39,0.230673135585834,0.257818189843526,0.255036728381803,0.216460162468204,0.198710134970413,0.223354213449947
42,0.232098044937263,0.251876925747516,0.263325172872912,0.216182289534725,0.197194520547945,0.226481757438831
45,0.225554259043174,0.24593557947958,0.257659274451993,0.20643409577094,0.199365624793498,0.219456003009145
48,0.21949535345398,0.256732653645432,0.253511491181187,0.203187788235929,0.194233983891627,0.218923758363962
51,0.228535353535354,0.256191476327995,0.252967136552552,0.214126761724223,0.196618483309459,0.226266345654534
54,0.227421013960323,0.279706580178925,0.256938361286187,0.213039934800326,0.201099044877666,0.225255083923203
57,0.220450089256972,0.293038601121742,0.252247612917069,0.209649895409006,0.20744970685033,0.236722485221037
60,0.227619216450984,0.292769924285527,0.245489842761224,0.208680536394239,0.202516216098559,0.246481876332623
63,0.224991316429316,0.279869494290375,0.240412572423014,0.212929105495825,0.195671618997753,0.243406285072952
66,0.231401371567464,0.28394491376276,0.245040514110087,0.215747645746013,0.198230632450113,0.251127569671937
69,0.231421717027475,0.287595226562156,0.238652197778998,0.215844656039371,0.193297727969181,0.25468057739031
